,Low,High,Open,Close,Volume
2017-01-01 00:00:00+00:00,964.66,1000.0,973.37,992.97,1732.1070913499732
2017-01-02 00:00:00+00:00,991.04,1034.36,992.96,1012.12,2124.326257009965
2017-01-03 00:00:00+00:00,1008.08,1036.99,1011.52,1020.67,1989.5262410999444
2017-01-04 00:00:00+00:00,1019.2,1146.2,1020.69,1132.0,3893.6086840700564
2017-01-05 00:00:00+00:00,884.0,1175.0,1131.1,1006.99,5278.128412840437
2017-01-06 00:00:00+00:00,875.04,1033.67,1007.0,895.71,4516.876906610223
2017-01-07 00:00:00+00:00,817.45,910.0,895.78,908.53,3740.5933121701905
2017-01-08 00:00:00+00:00,899.51,953.8,908.99,923.03,1850.711303389975
2017-01-09 00:00:00+00:00,886.43,923.58,922.04,902.66,2289.5003635499947
2017-01-10 00:00:00+00:00,900.09,915.1,902.66,907.0,1834.7005220199703
2017-01-11 00:00:00+00:00,765.5,923.8,906.81,800.0,4070.011524720282
2017-01-12 00:00:00+00:00,742.1,840.0,795.8,812.24,3058.031095670185
2017-01-13 00:00:00+00:00,785.0,834.98,812.25,831.4,1692.3740361399812
2017-01-14 00:00:00+00:00,823.89,847.14,831.42,827.01,1057.8153397499916
2017-01-15 00:00:00+00:00,819.0,834.96,828.0,833.14,942.6473346199931
2017-01-16 00:00:00+00:00,826.03,839.97,833.43,834.41,1008.6647359299931
2017-01-17 00:00:00+00:00,831.8,909.0,834.4,906.08,2044.948126099982
2017-01-18 00:00:00+00:00,853.38,916.7,906.09,887.99,1686.4392262199783
2017-01-19 00:00:00+00:00,885.67,907.0,887.98,902.92,1105.6672025599914
2017-01-20 00:00:00+00:00,890.0,904.57,902.92,894.2,1078.128325239994
2017-01-21 00:00:00+00:00,893.47,929.0,894.31,925.0,1346.4888624399887
2017-01-22 00:00:00+00:00,902.0,945.6,925.06,931.21,1771.3603579399771
2017-01-23 00:00:00+00:00,910.7,930.8,929.45,910.7,1340.866697119986
2017-01-24 00:00:00+00:00,882.17,923.0,911.78,887.0,2014.7811292999795
2017-01-25 00:00:00+00:00,886.99,903.98,887.0,896.27,1364.5915120199886
2017-01-26 00:00:00+00:00,896.2,921.95,896.75,917.02,1359.744203949989
2017-01-27 00:00:00+00:00,911.31,924.47,917.02,922.63,1091.3750560599922
2017-01-28 00:00:00+00:00,922.08,925.5,922.89,924.98,890.2868729399954
2017-01-29 00:00:00+00:00,915.85,927.47,924.69,916.53,799.8854972799917
2017-01-30 00:00:00+00:00,915.02,923.75,916.56,923.23,1014.879154039995
2017-01-31 00:00:00+00:00,923.03,972.3,923.26,970.02,2166.5089317199954
2017-02-01 00:00:00+00:00,964.1,992.39,970.01,992.39,1792.1289014299725
