,Low,High,Open,Close,Volume
2017-01-01 00:00:00+00:00,8.08,8.6,8.16,8.19,29214.583474139923
2017-01-02 00:00:00+00:00,8.05,8.52,8.2,8.38,34112.75574837015
2017-01-03 00:00:00+00:00,8.24,9.99,8.38,9.59,98578.13204714964
2017-01-04 00:00:00+00:00,9.41,11.17,9.62,11.16,114665.08457987921
2017-01-05 00:00:00+00:00,9.12,11.76,11.13,10.23,91185.19047729821
2017-01-06 00:00:00+00:00,9.54,10.45,10.23,10.14,50901.061162870275
2017-01-07 00:00:00+00:00,9.59,10.19,10.14,9.92,29315.207350199915
2017-01-08 00:00:00+00:00,9.9,10.58,9.92,10.5,22938.79035771
2017-01-09 00:00:00+00:00,10.24,10.92,10.5,10.41,23065.176955719955
2017-01-10 00:00:00+00:00,10.35,10.75,10.41,10.63,19567.828022369977
2017-01-11 00:00:00+00:00,9.48,10.79,10.63,9.96,39664.443516859734
2017-01-12 00:00:00+00:00,9.23,10.17,9.96,9.8,24076.946277239946
2017-01-13 00:00:00+00:00,9.51,9.9,9.81,9.84,18298.52833900998
2017-01-14 00:00:00+00:00,9.69,9.93,9.84,9.86,9884.719231399997
2017-01-15 00:00:00+00:00,9.82,10.02,9.86,9.9,5518.0584123
2017-01-16 00:00:00+00:00,9.62,9.97,9.91,9.66,9751.889094380005
2017-01-17 00:00:00+00:00,9.65,10.52,9.66,10.34,17620.169764580012
2017-01-18 00:00:00+00:00,10.0,10.5,10.33,10.23,15727.83966044002
2017-01-19 00:00:00+00:00,10.19,10.48,10.24,10.44,10686.17593488001
2017-01-20 00:00:00+00:00,10.43,10.78,10.46,10.63,15811.527484400005
2017-01-21 00:00:00+00:00,10.59,11.05,10.65,10.97,17307.571597710044
2017-01-22 00:00:00+00:00,10.67,11.07,10.94,10.77,20332.07616705996
2017-01-23 00:00:00+00:00,10.66,10.85,10.77,10.8,11127.017790150016
2017-01-24 00:00:00+00:00,10.53,10.79,10.79,10.57,13538.717385440017
2017-01-25 00:00:00+00:00,10.45,10.65,10.57,10.55,11869.924714369943
2017-01-26 00:00:00+00:00,10.51,10.67,10.54,10.61,11067.340164330019
2017-01-27 00:00:00+00:00,10.43,10.62,10.61,10.55,10306.033551910012
2017-01-28 00:00:00+00:00,10.47,10.58,10.55,10.58,5736.089467810005
2017-01-29 00:00:00+00:00,10.46,10.58,10.58,10.49,5278.429766080007
2017-01-30 00:00:00+00:00,10.41,10.71,10.5,10.6,8182.258760250004
2017-01-31 00:00:00+00:00,10.58,10.78,10.59,10.7,14031.433788479995
2017-02-01 00:00:00+00:00,10.53,10.86,10.7,10.72,18020.34540178004
2017-02-02 00:00:00+00:00,10.62,10.86,10.73,10.82,13820.36357107998
2017-02-03 00:00:00+00:00,10.67,10.99,10.82,10.99,16676.903143390024
2017-02-04 00:00:00+00:00,10.98,11.42,10.99,11.4,32344.04512488992
2017-02-05 00:00:00+00:00,11.17,11.44,11.39,11.26,12980.534559530015
2017-02-06 00:00:00+00:00,11.22,11.42,11.27,11.34,18188.61040582
2017-02-07 00:00:00+00:00,11.29,11.58,11.33,11.51,21927.02196442994
2017-02-08 00:00:00+00:00,11.15,11.62,11.51,11.41,28388.44059857008
2017-02-09 00:00:00+00:00,10.61,11.52,11.41,11.01,30711.355776470093
2017-02-10 00:00:00+00:00,10.89,11.46,11.02,11.43,15002.603312199994
